shotn,Rinnmid,Rinnrad,Routmid,Routrad,B_T,I_p
42145,54.763513513513516,0.2932432432432428,54.6027027027027,0.9081081081081095,0.819,440
42154,52.043243243243246,0.2767767767767779,50.698898898898904,2.1114114114114138,0.819,349
42379,53.798998998999,0.5457457457457444,53.24384384384385,1.8348348348348331,0.819,300
42380,53.95895895895896,0.47987987987988134,53.63903903903904,1.5337337337337331,0.82,300
42505,50.67507507507507,0.5081081081081074,50.7973973973974,1.9477477477477478,0.818,309
42572,50.900150150150154,0.2925425425425452,51.15090090090091,1.2119619619619648,0.821,310
42664,52.50990990990991,0.25405405405405546,52.434634634634634,0.7997997997997999,0.739,215
42669,50.7973973973974,0.5175175175175184,50.94794794794795,1.9289289289289293,0.819,312
42678,50.5490990990991,2.39884884884885,50.05595595595595,3.66096096096096,0.82,344
42696,50.2986986986987,0.6586586586586591,50.279879879879886,8.600200200200202,0.82,346
43039,52.384684684684686,1.6870870870870895,52.77462462462462,3.445795795795796,0.825,214
43041,52.36286286286287,0.2674674674674655,52.23748748748749,0.8441941941941948,0.824,217
43043,52.712112112112116,0.5345345345345365,53.193193193193196,2.0846846846846887,0.824,219
43043,52.195395395395394,0.37417417417417553,51.99939939939941,1.1759759759759767,0.824,219
43043,52.712112112112116,0.5345345345345365,53.193193193193196,2.0846846846846887,0.824,219
43043,52.195395395395394,0.37417417417417553,51.99939939939941,1.1759759759759767,0.824,219
43048,52.95265265265266,0.34744744744744693,52.890290290290295,1.3007007007007019,0.823,300
43054,49.55960960960961,0.9788288288288278,50.331531531531525,3.724324324324325,0.822,292
43296,48.57282282282282,0.7241741741741734,48.43753753753754,2.2123123123123136,0.616,199
43305,51.74134134134134,0.7465465465465471,51.91101101101101,1.7306306306306318,0.615,205
43458,52.52057057057057,0.3960460460460453,52.51091091091091,1.0432432432432428,0.705,250
43464,52.23078078078078,0.3574074074074076,52.22112112112112,1.081881881881884,0.705,244
43757,54.65705705705706,0.5129129129129097,54.31816816816817,1.6578078078078065,0.706,301
43762,53.72282282282282,1.3555555555555578,52.92597597597597,3.0133633633633643,0.706,298
43764,53.4388888888889,0.24729729729729755,53.36561561561562,0.7602102102102108,0.705,300
43923,53.08168168168169,0.29309309309309484,52.97177177177177,0.8975975975975992,0.704,284
43942,53.539639639639645,0.23813813813813667,53.44804804804805,0.75105105105105,0.705,289
43943,53.33198198198198,0.2028528528528568,53.27402402402403,0.6278778778778751,0.704,287
43944,53.38993993993994,0.3187687687687699,53.245045045045046,1.0046046046046087,0.704,287
43946,53.496196196196195,0.25115115115115216,53.3995995995996,0.7920920920920942,0.704,288
43954,51.863713713713715,0.2801301301301322,52.16316316316316,1.294394394394395,0.707,229
43967,52.083333333333336,0.26561561561561575,52.14744744744745,0.9342342342342356,0.708,228
43971,52.99009009009009,0.18318318318318205,52.935135135135134,0.5678678678678679,0.708,225
43975,51.86351351351352,0.15570570570570652,51.99174174174175,0.6686186186186198,0.708,195
43986,52.696996996997,0.2930930930930913,52.61456456456456,0.8884384384384383,0.708,191
44000,50.40510510510511,0.7341341341341341,50.385785785785785,1.7001001001001015,0.708,197
44013,53.07252252252252,0.3572072072072068,52.91681681681682,1.0990990990990994,0.707,202
44034,53.00355355355356,0.29944944944945107,52.868318318318316,0.9949449449449439,0.705,295
44036,51.6994994994995,0.3091091091091087,51.863713713713715,1.246096096096096,0.71,285
44071,52.019219219219224,0.6594594594594589,51.3506006006006,2.1157657657657687,0.616,242
44101,52.770270270270274,0.8792792792792774,52.06501501501502,2.8301801801801822,0.765,284
44151,51.716966966966964,0.3572072072072068,52.55960960960961,2.207357357357356,0.904,256
44156,51.72612612612613,0.4396396396396405,51.89099099099099,2.051651651651653,0.904,290
44159,53.86326326326326,0.5795795795795797,53.341641641641644,2.2796796796796777,0.705,324
44164,51.72847847847848,0.3187687687687699,52.78138138138138,2.24104104104104,0.906,298
44165,53.824624624624626,1.7194194194194168,54.0467967967968,2.9848348348348352,0.937,299
44168,53.235385385385385,0.3574074074074076,53.14844844844845,1.0625625625625617,0.943,299
44183,52.42397397397397,0.31876876876876636,52.49159159159159,0.8886886886886884,0.95,401
44213,52.443293293293294,0.41536536536536417,52.50125125125125,1.1494994994995018,0.949,400
44213,51.31311311311311,1.835335335335337,51.57392392392393,3.564414414414415,0.949,400
44213,52.443293293293294,0.41536536536536417,52.50125125125125,1.1494994994995018,0.949,400
44213,51.31311311311311,1.835335335335337,51.57392392392393,3.564414414414415,0.949,400
44220,51.75745745745746,0.32842842842842757,51.815415415415416,1.2364364364364349,0.949,400
44221,52.50125125125125,0.45400400400400187,52.2501001001001,1.4586086086086105,0.948,404
44247,55.032582582582585,0.3388888888888886,54.84024024024024,1.062462462462463,0.708,284
44248,55.279879879879886,0.4213213213213187,54.99594594594595,1.3280780780780788,0.79,292
44255,54.51966966966967,2.6286786786786784,54.08918918918919,3.5171171171171167,0.788,292
44266,54.27862862862863,0.4926426426426431,53.94054054054054,1.5841841841841848,0.705,301
44272,54.73033033033033,0.6045045045045043,54.09834834834835,2.042492492492496,0.705,296
44296,51.442192192192195,0.28393393393393396,51.35975975975976,0.934234234234232,0.508,204
44302,52.87797797797798,0.6568568568568587,53.119469469469465,1.3620120120120127,0.704,204
44344,52.655805805805805,0.3187687687687699,52.327377377377374,1.1881381381381395,0.709,297
44348,53.022872872872874,0.2994494494494475,52.916616616616615,0.9466466466466485,0.704,300
44349,53.457557557557564,0.36706706706706527,53.283683683683684,1.1591591591591595,0.704,300
44350,53.64109109109109,0.2994494494494475,53.544494494494494,0.9176676676676649,0.704,300
44350,53.61291291291292,0.3114114114114095,53.51216216216217,0.9617117117117111,0.704,300
44350,53.64109109109109,0.2994494494494475,53.544494494494494,0.9176676676676649,0.704,300
44350,53.61291291291292,0.3114114114114095,53.51216216216217,0.9617117117117111,0.704,300
44362,52.90695695695696,3.216666666666665,53.05185185185185,4.057057057057058,0.705,297
44377,53.129129129129126,0.36706706706706527,52.78138138138138,1.3523523523523515,0.703,346
44381,51.42387387387387,2.317267267267269,52.86186186186187,4.487987987987989,0.704,307
44427,52.27567567567568,0.9159159159159174,52.87102102102102,3.2148648648648646,0.708,297
44435,52.27567567567568,0.7876876876876864,52.770270270270274,2.564564564564563,0.805,297
44438,49.13408408408408,1.7310810810810828,47.43048048048048,4.442192192192195,0.805,287
44838,52.63288288288288,0.3388888888888886,52.45885885885886,1.0990990990990994,0.705,300
